Date;ALV.DE;KNEBV.HE;KER.PA;FP.PA;VOW3.DE;SAN.PA;SU.PA;ENEL.MI;ISP.MI;INGA.AS;BAYN.DE;IBE.MC;MC.PA;CRH.L;SIE.DE;DAI.DE;LIN.DE;ENGI.PA;AI.PA;ENI.MI;PHIA.AS;MUV2.DE;BAS.DE;BMW.DE;OR.PA;RI.PA
2004-12-31;;;;;;;;;;;;;;1515.3934326171875;;;;;;;;;;;;
2005-01-03;97.30000305175781;;68.6859130859375;40.45000076293945;24.30381202697754;59.0;25.27076530456543;6.241282939910889;3.3090291023254395;17.08528709411621;24.72046661376953;4.599999904632568;56.29999923706055;1515.3934326171875;60.49652862548828;35.61000061035156;34.0;19.75;34.89087677001953;18.40999984741211;19.112306594848633;90.62000274658203;26.420000076293945;33.40999984741211;55.849998474121094;53.05302429199219
2005-01-04;97.6500015258789;;68.77886199951172;39.900001525878906;24.69148063659668;59.5;25.616601943969727;6.232675075531006;3.280987024307251;17.21582794189453;24.5925350189209;4.635000228881836;56.599998474121094;1515.3934326171875;60.767860412597656;35.75;34.0;19.709999084472656;34.967899322509766;18.260000228881836;19.259323120117188;91.69999694824219;26.6299991607666;33.599998474121094;56.54999923706055;53.24165725708008
2005-01-05;96.70999908447266;;68.31414031982422;39.79999923706055;25.248132705688477;58.599998474121094;26.135356903076172;6.14658784866333;3.280987024307251;17.162076950073242;24.14969253540039;4.639999866485596;55.599998474121094;1515.3934326171875;60.08953857421875;35.86000061035156;34.0;19.479999542236328;34.711158752441406;18.34000015258789;18.837873458862305;91.8499984741211;26.5;34.220001220703125;56.400001525878906;53.666080474853516
2005-01-06;96.37000274658203;;68.08177947998047;39.724998474121094;25.446935653686523;58.400001525878906;25.987140655517578;;;17.177433013916016;23.687166213989258;4.599999904632568;55.599998474121094;1515.3934326171875;59.8472785949707;35.849998474121094;34.0;19.649999618530273;34.659812927246094;;18.641849517822266;91.0;26.385000228881836;34.439998626708984;56.95000076293945;53.949031829833984
2005-01-07;96.87000274658203;;68.31414031982422;39.900001525878906;25.934005737304688;57.599998474121094;26.481191635131836;6.094935894012451;3.3744618892669678;17.261899948120117;23.726530075073242;4.587500095367432;55.5;1515.3934326171875;60.641883850097656;35.939998626708984;34.0;19.739999771118164;34.659812927246094;18.280000686645508;18.573240280151367;92.77999877929688;26.274999618530273;34.689998626708984;57.400001525878906;53.5717658996582
2005-01-10;97.05999755859375;;69.38299560546875;40.099998474121094;26.440956115722656;58.45000076293945;27.098758697509766;6.120761871337891;3.3931570053100586;17.315650939941406;23.470666885375977;4.627500057220459;56.20000076293945;1515.3934326171875;60.55467224121094;35.93000030517578;34.0;19.790000915527344;35.070594787597656;18.229999542236328;18.62224769592285;93.33999633789062;26.3799991607666;34.560001373291016;58.0;53.80755615234375
2005-01-11;97.23999786376953;;69.24358367919922;40.349998474121094;26.788864135742188;58.70000076293945;26.950542449951172;6.103545188903809;3.4118518829345703;17.3770809173584;23.76589584350586;4.622499942779541;55.70000076293945;1515.3934326171875;60.41900634765625;35.84000015258789;34.0;19.5;34.967899322509766;18.290000915527344;18.475229263305664;94.05999755859375;26.325000762939453;34.33000183105469;57.849998474121094;53.100181579589844
2005-01-12;95.9000015258789;;68.6859130859375;40.099998474121094;26.24215316772461;57.70000076293945;26.654111862182617;6.103545188903809;3.355767011642456;17.162076950073242;23.470666885375977;4.605000019073486;55.29999923706055;1515.3934326171875;60.06046676635742;35.43000030517578;34.0;19.040000915527344;34.505767822265625;18.06999969482422;18.396820068359375;92.06999969482422;25.875;34.0;57.04999923706055;51.87406921386719
2005-01-13;94.77999877929688;;69.01122283935547;39.900001525878906;25.943946838378906;57.599998474121094;26.950542449951172;6.129371166229248;3.3744618892669678;17.046894073486328;23.22464370727539;4.602499961853027;54.29999923706055;1515.3934326171875;59.595333099365234;35.16999816894531;34.0;19.100000381469727;34.12065887451172;18.030000686645508;18.32821273803711;91.5;25.844999313354492;34.0;56.400001525878906;51.87406921386719
2005-01-14;94.20999908447266;;69.47594451904297;39.92499923706055;25.645740509033203;58.04999923706055;27.889240264892578;6.112153053283691;3.3370718955993652;16.89331817626953;23.077028274536133;4.644999980926514;54.150001525878906;1515.3934326171875;58.684444427490234;34.54999923706055;34.0;18.780000686645508;33.8382453918457;18.18000030517578;18.279205322265625;89.30000305175781;25.725000381469727;33.20000076293945;55.70000076293945;51.21385192871094
2005-01-17;95.5999984741211;;71.52072143554688;40.375;26.142751693725586;58.0;28.11156463623047;6.232675075531006;3.355767011642456;16.939390182495117;23.677326202392578;4.677499771118164;55.04999923706055;1515.3934326171875;59.110816955566406;34.939998626708984;34.0;19.0;34.300376892089844;18.440000534057617;18.563440322875977;90.5;26.030000686645508;33.70000076293945;56.150001525878906;51.826908111572266
2005-01-18;95.05000305175781;;71.79955291748047;40.474998474121094;26.341554641723633;57.849998474121094;28.21037483215332;6.224065780639648;3.383810043334961;16.91635513305664;24.061124801635742;4.677499771118164;55.400001525878906;1515.3934326171875;59.595333099365234;34.900001525878906;34.0;19.190000534057617;34.14633560180664;18.469999313354492;18.641849517822266;90.19000244140625;26.075000762939453;33.45000076293945;56.400001525878906;51.826908111572266
