Dates;date;Entreprises;NUMBER_EMPLOYEES_CSR;yearly_return;SP 500;AUDIT_COMMITTEE_MEETINGS;SAY_PAY_SUPPORT_LEVEL;TOT_OTHER_COMP_AW_TO_CEO_&_EQUIV;TOTAL_EXEC_PAY_AS_PCT_OPEX;TOT_SALARIES_PAID_TO_CEO_&_EQUIV;TOT_SALARIES_&_BNS_PD_TO_EXECS;TOT_N_EQTY_INCENT_GIVEN_TO_EXECS;SAY_PAY_NUMBER_OF_VOTES_FOR;TOT_EXEC_PAY_AS_PCT_SG&A_NET_R&D;TOT_OPTION_AWARDS_GIVEN_TO_EXECS;TOT_EXEC_PAY_AS_PCT_TOT_PSNL_EXP;TOT_N_EQT_INCENT_GVN_TO_CEO_&_EQ;PCT_BOD_COMP_PD_IN_STK_AWD;NUM_EXECUTIVE_CHANGES;AVERAGE_BOD_TOTAL_COMPENSATION;ESG_DISCLOSURE_SCORE;CFO_TENURE_AS_OF_FY_END;CHG_OF_CTRL_BFIT_GOLD_CHUTE_AGR;CLAWBACK_PROVISION_FOR_EXEC_COMP;GENDER_PAY_GAP_BREAKOUT;BLANK_CHECK_PREFERRED_AUTHORIZED
2019-12-31;2019-12-31;IBE SM Equity;35374.0;36.74603;28.88;12.0;91.945;72000.0;0.09099999999999997;2817000.0;8340000.0;1368930.024638572;4369.12;0.3063256463840207;92000.0;0.44059999999999994;1057989.7864020928;0.0;0.0;660250.0;70.566;4.052261335664021;0;0;1;0
2005-12-31;2005-12-31;ISP IM Equity;43666.0;30.101509999999998;-30.3;6.850037346034313;89.85636767652198;259214.21443645642;-0.05182206942149914;1554899.5722278333;17715859.994076714;1136573.6130118575;1083.6203287486182;6.347806815125451;344036.3393423015;0.38018209953500354;461708.82116803;1.8107949760065656;1.707580373456505;1173793.5084316253;47.806999999999995;3.8969807428819956;0;0;0;0
2006-12-31;2006-12-31;ISP IM Equity;42727.0;36.78733;13.62;8.920445705173465;92.22365780731212;345123.54879903886;1.4131550218678628;1314853.1640818655;209632508.38204956;1031950.3341194725;2655.2400913449246;0.8338949301079421;2122881.701565627;2.1365137287101934;61628.32737431722;3.222035354272826;1.0332739354110148;-848984.7183496389;51.7544;5.526473074746924;0;0;0;0
2007-12-31;2007-12-31;ISP IM Equity;95295.0;-1.3980219999999999;3.53;7.54474873175495;93.12831426458737;118054.0994387994;0.02949999999999997;2423000.0;4297999.999999996;807475.4024765152;1498.8351178817782;1.3583683324937197;1253028.391578407;0.055399999999999894;329614.6826033942;2.783365780551633;2.0;-567658.5842463514;54.386;4.124471947651065;0;0;0;0
2008-12-31;2008-12-31;ISP IM Equity;106269.0;-48.92102;-38.49;50.0;89.8439025061536;2.9103830456733704e-11;0.02949999999999997;2000000.0;5745350.0;1548524.107271345;2364.0771161928706;3.422746847399184;1058976.016536286;0.055399999999999894;788114.1690909065;3.271451076410151;1.0;2251848.084124941;65.7895;4.171474570534351;0;0;0;0
2009-12-31;2009-12-31;ISP IM Equity;101700.0;24.137929999999997;23.45;53.0;89.15447043870549;2.9103830456733704e-11;0.02949999999999997;2000000.0;6550350.0;2010073.9806346684;2463.9737065348004;3.6071072854021478;819451.3408533679;0.055399999999999894;1004563.2222099046;4.661554906555332;0.0;2489073.3450565226;67.1053;3.9964030191270177;0;0;0;0
2010-12-31;2010-12-31;ISP IM Equity;100740.0;-33.10053;12.78;53.0;91.91618812488584;2.9103830456733704e-11;0.02949999999999997;2000000.0;62099121.0;1934613.032503765;3034.8931512363883;-0.3001048587152484;2213742.108233425;0.055399999999999894;211232.96545895783;3.8143789647642308;11.0;1175183.1334486373;70.61399999999999;6.040004759424372;0;0;0;0
2011-12-31;2011-12-31;ISP IM Equity;97860.0;-29.023629999999997;-30.0;46.0;90.04404743052598;2.9103830456733704e-11;0.05359999999999998;1323000.0;4183000.0;1239341.0737522854;1050.4696849275801;8.496063213096146;73190.87409877311;0.09619999999999995;124648.83585065801;3.104656797024787;3.0;274142.8571;70.1754;5.112499408424598;0;1;0;0
2012-12-31;2012-12-31;ISP IM Equity;95402.0;5.573733;13.41;46.0;89.65195170535603;2.9103830456733704e-11;0.10260000000000002;2300000.0;7862000.0;1290403.2831674996;2222.4777666430036;0.7510674653806332;1583856.7845675377;0.19369999999999998;290381.35417622834;1.7101949617245218;2.0;243600.0;72.807;4.5833;0;1;0;0
2013-12-31;2013-12-31;ISP IM Equity;93212.0;42.73576;29.6;48.0;96.62299999999999;436000.0;0.10230000000000006;3333000.0;8608000.0;1416338.1393968274;8956.12;4.482149867518213;309619.5735808867;0.24770000000000003;454904.68235600763;2.0822122052629006;5.0;285777.7778;74.1228;5.5833;0;1;0;0
