,AUDIT_COMMITTEE_MEETINGS,SAY_PAY_SUPPORT_LEVEL,TOT_OTHER_COMP_AW_TO_CEO_&_EQUIV,TOTAL_EXEC_PAY_AS_PCT_OPEX,TOT_SALARIES_PAID_TO_CEO_&_EQUIV,TOT_SALARIES_&_BNS_PD_TO_EXECS,TOT_N_EQTY_INCENT_GIVEN_TO_EXECS,SAY_PAY_NUMBER_OF_VOTES_FOR,TOT_EXEC_PAY_AS_PCT_SG&A_NET_R&D,TOT_OPTION_AWARDS_GIVEN_TO_EXECS,TOT_EXEC_PAY_AS_PCT_TOT_PSNL_EXP,TOT_N_EQT_INCENT_GVN_TO_CEO_&_EQ,PCT_BOD_COMP_PD_IN_STK_AWD,NUM_EXECUTIVE_CHANGES,AVERAGE_BOD_TOTAL_COMPENSATION,ESG_DISCLOSURE_SCORE,CFO_TENURE_AS_OF_FY_END,CHG_OF_CTRL_BFIT_GOLD_CHUTE_AGR,CLAWBACK_PROVISION_FOR_EXEC_COMP,GENDER_PAY_GAP_BREAKOUT,BLANK_CHECK_PREFERRED_AUTHORIZED,Dates,Entreprises
10,15.0,97.841,66000.0,0.0766,2817000.0,6155000.0,2283232.8042509356,4370.91,0.13282216196703672,202145.72178750957,0.3572,1762776.9928166352,0.9517510690458555,0.0,311000.0,71.3208,2.4198768264425277,0.0,0.0,1.0,0.0,2015-12-31,26
11,13.0,96.738,68000.0,0.0826,2250000.0,5435000.0,2422610.9178767656,4463.57,1.2699633546950577,84000.0,0.3764,1888832.8088536297,7.059441072182394,0.0,332642.8571,73.9623,4.170199752432137,0.0,0.0,1.0,0.0,2016-12-31,26
12,11.0,94.174,68000.0,0.085,2250000.0,7300000.0,1883906.272238325,4298.45,0.010140736568027754,92000.0,0.417,732413.8118709526,0.0,1.0,56842000.0,69.8113,5.252837091130093,0.0,0.0,1.0,0.0,2017-12-31,26
13,12.0,92.579,157000.0,0.0943,2817000.0,7615000.0,1225550.038736253,4232.82,0.16470413915891047,92000.0,0.4666,701115.9869010448,0.0,0.0,660250.0,68.6792,4.680956463763387,0.0,0.0,1.0,0.0,2018-12-31,26
14,12.0,91.945,72000.0,0.091,2817000.0,8340000.0,1175366.7349363484,4369.12,0.10929318240017306,92000.0,0.4406,638787.8470644352,0.0,0.0,660250.0,70.566,3.036234616310933,0.0,0.0,1.0,0.0,2019-12-31,26
15,4.1517441025715,93.78340172053417,545906.5537727172,0.038674709452848184,856854.5231766276,2131088.734648747,771407.527641291,1701.72803121961,0.05503849494471114,0.0,0.07569964924100613,505641.09704854654,0.4798791294026431,0.07587230038666155,65587.01214047612,47.807,4.568126075282608,0.22002153820053416,0.0,0.0,0.0,2005-12-31,28
16,6.000047996620011,98.82699598659023,45019.664067673286,0.03726246062035123,1421099.7074838644,3370898.1472706306,409669.995938368,3805.224018081369,0.1529187143853265,1123134.1807728927,0.07040373514420402,159269.05056581282,1.3099681660667528,2.9997085792109743,76477.74080718173,51.7544,3.249837927509458,0.00029108549527276893,0.9997089291779854,0.0,0.0,2006-12-31,28
17,9.928529424420944,95.71889732278328,26838.688524254965,0.0295,2423000.0,4298000.0,1928442.815830004,4307.917672112441,0.03775474843685667,23107.634425961962,0.0554,1683067.5633255506,0.0,2.0,166253.61678845302,54.386,3.5676328136376716,0.0,0.0,0.0,0.0,2007-12-31,28
18,50.0,96.86485596768293,0.0,0.0295,2000000.0,5745350.0,1775183.0716560388,3466.381175963097,0.0942518567372925,47307.50860404257,0.0554,1338381.9220753147,2.520114797122874,1.0,193326.67969094316,65.7895,2.4347346932320217,0.0,0.0,0.0,0.0,2008-12-31,28
19,53.0,90.08113939769704,0.0,0.0295,2000000.0,6550350.0,1481484.196119591,1277.8569125605882,0.13007472348112425,300561.70561362104,0.0554,1092869.7745976914,0.0,0.0,85125.20131498386,67.1053,4.0644121304836025,0.0,0.0,0.0,0.0,2009-12-31,28
