,AUDIT_COMMITTEE_MEETINGS,SAY_PAY_SUPPORT_LEVEL,TOT_OTHER_COMP_AW_TO_CEO_&_EQUIV,TOTAL_EXEC_PAY_AS_PCT_OPEX,TOT_SALARIES_PAID_TO_CEO_&_EQUIV,TOT_SALARIES_&_BNS_PD_TO_EXECS,TOT_N_EQTY_INCENT_GIVEN_TO_EXECS,SAY_PAY_NUMBER_OF_VOTES_FOR,TOT_EXEC_PAY_AS_PCT_SG&A_NET_R&D,TOT_OPTION_AWARDS_GIVEN_TO_EXECS,TOT_EXEC_PAY_AS_PCT_TOT_PSNL_EXP,TOT_N_EQT_INCENT_GVN_TO_CEO_&_EQ,PCT_BOD_COMP_PD_IN_STK_AWD,NUM_EXECUTIVE_CHANGES,AVERAGE_BOD_TOTAL_COMPENSATION,ESG_DISCLOSURE_SCORE,CFO_TENURE_AS_OF_FY_END,CHG_OF_CTRL_BFIT_GOLD_CHUTE_AGR,CLAWBACK_PROVISION_FOR_EXEC_COMP,GENDER_PAY_GAP_BREAKOUT,BLANK_CHECK_PREFERRED_AUTHORIZED,Dates,Entreprises
15,8.164531328863575,85.5904674311256,428944.0081165978,0.3558255547139102,1410758.0742576076,22206027.54268278,1771658.980947901,891.8828160090773,-1.002932377192165,1692436.5165069439,1.1244473690938546,1245058.2324081166,0.46643338719979965,1.2627824183226253,235067.31161885738,47.807,5.22710288185697,0.3204503385897376,0.07799104226773501,0.21438428525305397,0.0,2005-12-31,28
16,9.036907594458796,85.59038306240544,428931.76002172614,0.374057121881906,1410755.9985397486,22206343.984774753,1771653.6629355585,891.8662573524937,-0.7547982684130208,1692444.034105427,1.0576050660197867,1245061.2019732036,0.49823029165111166,1.2627004166235027,235073.78925404447,51.7544,5.227098916602315,0.3220464303605718,0.03474783033527906,0.23520191151190062,0.0,2006-12-31,28
17,9.02517484659387,92.97065117036033,477097.8984855213,0.0295,2423000.0,4298000.0,2528686.117646265,2998.365118306192,0.4592904472846371,284562.42943784,0.0554,1482165.3771080896,2.7347625435380394,2.0,346400.5084288915,54.386,5.989633885913742,0.3396133270395113,0.5467426362385783,0.6680339421084582,0.0,2007-12-31,28
18,50.0,92.00960100492239,0.0,0.0295,2000000.0,5745350.0,2138819.8024773058,2502.9734650389887,0.8774165264516149,390044.6111422613,0.0554,1289637.9269354758,3.5237637149433283,1.0,261245.59575761325,65.7895,5.549763579218006,-0.09569731707910611,0.8534216243881207,1.299983990854166,0.0,2008-12-31,28
19,53.0,91.71562217104496,0.0,0.0295,2000000.0,6550350.0,2151336.4391402807,2449.7798444134023,0.9065558675714804,452521.2354929155,0.0554,1303974.5524222883,3.430991624571476,0.0,261495.89030824165,67.1053,5.550622434396731,-0.1522176383395225,0.9008151506540276,1.3871567348827654,0.0,2009-12-31,28
20,53.0,71.42895078142965,0.0,0.0295,2000000.0,62099121.0,3015048.8607501145,-1220.8317254797776,-0.601777223351192,4763700.84492047,0.0554,2293270.7368576247,-6.3625040648190065,11.0,278757.4957525314,70.614,5.611788805679344,-0.06922416187211866,1.2492541396531056,1.3541333601344476,0.0,2010-12-31,28
21,46.0,92.06288709361773,0.0,0.0536,1323000.0,4183000.0,1350559.1100236673,2005.635823157325,0.5937920726841881,277521.5662273703,0.0962,862128.4812853954,4.347236942405885,3.0,274142.8571,70.1754,5.670471346378912,0.0,1.0,1.1283004507870622,0.0,2011-12-31,28
22,46.0,91.48854287245577,0.0,0.1026,2300000.0,7862000.0,2521157.941562551,2622.2366075302953,0.9029859904073003,567958.6831423639,0.1937,1506770.2401006455,2.794477004830128,2.0,243600.0,72.807,4.5833,0.0,1.0,1.422567627128629,0.0,2012-12-31,28
23,48.0,96.623,436000.0,0.1023,3333000.0,8608000.0,3640675.717344284,8956.12,0.10249678759138448,657741.914815253,0.2477,2093728.8393584006,1.5198098202052392,5.0,285777.7778,74.1228,5.5833,0.0,1.0,1.7880713593591153,0.0,2013-12-31,28
24,51.0,96.623,119000.0,0.0752,1634000.0,5371000.0,1740940.6434533233,8956.12,-0.6393042812174503,361562.9614201315,0.1479,1074627.9930639453,3.769762399683401,1.0,245250.0,76.7544,1.6667,0.0,1.0,1.0,0.0,2014-12-31,28
25,48.0,96.623,119000.0,0.0563,1650000.0,5135000.0,1746985.1882815987,8956.12,-0.9573839730143572,343445.83807857614,0.1142,1076173.0082794176,3.7156824588711572,0.0,253300.0,71.9298,2.6667,0.0,1.0,1.0,0.0,2015-12-31,28
26,19.0,96.623,338000.0,0.0617,2412000.0,5336000.0,2525788.0545991194,8956.12,-1.0718658528449083,387514.4446950684,0.1199,1485624.0537089435,2.5675284011417148,2.0,327000.0,70.614,3.6667,0.0,1.0,1.0,0.0,2016-12-31,28
27,37.0,96.623,119000.0,0.0357,2600000.0,3875000.0,2794859.6010418404,8956.12,-0.5580369754616363,252719.77960427047,0.0638,1610081.1914790436,2.8843377789804094,0.0,238277.7778,69.7368,3.6667,0.0,1.0,1.0,0.0,2017-12-31,28
28,42.0,96.623,59000.0,0.0459,2600000.0,4216000.0,2792274.7084750813,8956.12,-0.2525395817959506,273139.8878679826,0.0852,1614071.2892788956,2.8886782965318787,0.0,245166.6667,71.0526,3.6667,0.0,1.0,1.0,0.0,2018-12-31,28
29,36.0,96.623,59000.0,0.0466,2613000.0,4507000.0,2740490.6967098657,8956.12,-0.23480338154795533,296377.7937862128,0.0878,1595760.1622164175,2.732207193060219,0.0,316636.3636,69.2982,3.6667,0.0,1.0,1.0,0.0,2019-12-31,28
30,7.101362533236454,85.59042612454857,428937.14418200636,0.4472459519761638,1410757.0459976885,22206206.15989226,1771655.9341665849,891.8736015048719,0.23622657475844377,1692440.7430011188,0.8113226956284079,1245059.9018683326,0.46051894081429623,1.262704379889087,235071.16231871612,51.31375267209012,5.227095174436303,0.33074813902449607,0.21560957179498708,0.22260521896586738,0.17295950000259563,2005-12-31,10
31,4.0,85.59073372059723,428980.1546464958,0.4013989630326129,1410764.6202361789,22205099.44761824,1771674.664021863,891.9317062470298,-0.5588211358897777,1692414.5162400394,1.04824594642262,1245049.5712209279,0.37054411532946574,1.2629408200032863,235048.60718522343,39.6694,5.227085193986047,0.33458781450156205,0.2826105020933358,0.12096018800399122,0.15335920594252195,2006-12-31,10
32,4.0,90.3484830559912,496593.9815789559,0.079,748872.0,7754442.0,958166.7198324862,1260.745796807915,0.099,572772.0622593422,0.13,666977.3909216309,3.5544370749004344,0.0,89363.837,49.1736,4.2462908163265185,0.19957235405456297,9.323364643343268e-05,-0.03973269450407635,0.2771404235561079,2007-12-31,10
33,4.0,90.4401955833009,495435.1644142368,0.108,794000.0,7603000.0,980469.3536505909,1311.1996332104895,0.134,561626.069015185,0.192,679295.262896919,3.5605742427480465,0.0,114950.0,52.0661,4.4218497507869685,0.2321442554420584,-0.012832238654203465,-0.0399659090950113,0.23323543799242352,2008-12-31,10
34,4.0,90.45620403873826,495074.9233663217,0.095,812000.0,7598000.0,1000338.3332332189,1327.3741904044318,0.118,561364.4045144491,0.093,689630.897712777,3.576204985702695,0.0,114950.0,58.2645,4.4210508903704,0.2534381229328372,-0.0628332370943081,-0.07100091786556817,0.17710263730976528,2009-12-31,10
35,4.0,89.79002651079642,461987.9706345224,0.116,1773000.0,11485000.0,2131899.8724000994,1916.3151577201113,0.143,867714.9144830994,0.228,1318433.4343023868,2.0975798894607465,4.0,109190.476,64.0496,1.0,0.5244934097239277,0.024853412696282717,0.06492988862542148,0.07645002641028165,2010-12-31,10
36,4.0,93.98945650778037,500531.87657846743,0.116,1773000.0,0.0,1946276.3242388207,2675.2470859641603,0.143,-17987.294714304153,0.228,1109967.247973816,4.13239928568413,4.0,114950.0,64.0496,1.0,1.0,0.0,-0.05911718292498591,0.010331911849379205,2011-12-31,10
37,4.0,92.28253969433959,484940.28960495675,0.057,1773000.0,4668000.0,2024341.8993449702,2366.70932846102,0.069,341977.3227361486,0.111,1195845.2489758572,3.2833479419414573,0.0,109962.963,64.4628,3.0,1.0,0.0,-0.1292674369736524,0.013177715968123005,2012-12-31,10
38,4.0,90.55367566555611,479437.5274928459,0.109,1347000.0,8486000.0,1557124.0844746244,1741.0637072643206,0.137,633976.7879175103,0.191,993503.5906551239,2.9881675122666422,4.0,165450.0,64.0496,4.0,1.0,0.0,-0.17886007219142286,0.029020702186743685,2013-12-31,10
39,4.0,90.31624049994116,477054.43156088376,0.124,1363000.0,9169000.0,1594440.4587364444,1709.7698884932404,0.158,686683.6328201595,0.214,1018913.499076008,3.0533527791697708,5.0,156476.19,66.5289,0.25,1.0,0.0,0.0,0.051506063618943054,2014-12-31,10
40,4.0,81.098,40000.0,0.095,1374000.0,8818000.0,1605051.860316089,392.994,0.121,645597.3939306672,0.169,1027944.0397775935,2.9103276351812752,1.0,149590.909,66.1157,1.25,1.0,0.0,0.0,0.030333754543084845,2015-12-31,10
41,4.0,81.098,146000.0,0.174,1760000.0,15448000.0,2130767.106715438,392.994,0.23,1173442.3339816346,0.333,1364678.765246437,1.4319119821582547,6.0,158136.364,66.9421,2.25,1.0,0.0,0.0,-0.0030513358629666865,2016-12-31,10
42,4.0,81.098,49000.0,0.171,1487000.0,12296000.0,1792314.6489983634,392.994,0.226,917011.8528429169,0.334,1158534.5285449196,0.0,0.0,142423.077,65.7025,3.25,1.0,0.0,0.0,0.13502613843269295,2017-12-31,10
43,4.0,81.098,46000.0,0.141,1511000.0,12763000.0,1783481.3301624816,392.994,0.182,953449.3234884084,0.301,1162082.943804585,0.0,6.0,185571.429,61.9835,0.583,1.0,0.0,0.0,0.11703494310851892,2018-12-31,10
44,4.0,81.098,47000.0,0.139,1650000.0,13230000.0,1944871.8125475172,392.994,0.18,990805.785805324,0.277,1250868.9365781476,0.0,3.0,185600.0,67.7686,1.583,1.0,0.0,0.0,0.05243775198307277,2019-12-31,10
45,4.068893599540786,85.59072245230817,428979.6098070168,0.38974370662953883,1410764.4209849918,22205111.65336448,1771674.5222620673,891.9309267031267,-0.6537274525864198,1692414.867695637,1.0424263453333928,1245049.6946669566,0.3574350615844111,1.2629695421622185,235048.65532442118,38.4298,5.2270997156433445,0.3376226192768049,0.3092904099760023,0.0,0.13273177334948394,2005-12-31,22
