Dates;Entreprises;NUMBER_EMPLOYEES_CSR;AUDIT_COMMITTEE_MEETINGS;^GSPC;^N100;SAY_PAY_SUPPORT_LEVEL;TOT_OTHER_COMP_AW_TO_CEO_&_EQUIV;TOTAL_EXEC_PAY_AS_PCT_OPEX;TOT_SALARIES_PAID_TO_CEO_&_EQUIV;TOT_SALARIES_&_BNS_PD_TO_EXECS;TOT_N_EQTY_INCENT_GIVEN_TO_EXECS;SAY_PAY_NUMBER_OF_VOTES_FOR;TOT_EXEC_PAY_AS_PCT_SG&A_NET_R&D;TOT_OPTION_AWARDS_GIVEN_TO_EXECS;TOT_EXEC_PAY_AS_PCT_TOT_PSNL_EXP;TOT_N_EQT_INCENT_GVN_TO_CEO_&_EQ;PCT_BOD_COMP_PD_IN_STK_AWD;NUM_EXECUTIVE_CHANGES;AVERAGE_BOD_TOTAL_COMPENSATION;ESG_DISCLOSURE_SCORE;CFO_TENURE_AS_OF_FY_END;CHG_OF_CTRL_BFIT_GOLD_CHUTE_AGR;CLAWBACK_PROVISION_FOR_EXEC_COMP;GENDER_PAY_GAP_BREAKOUT;BLANK_CHECK_PREFERRED_AUTHORIZED;yearly_return;^STOXX50E
2017-12-31;ISP IM Equity;94032.0;37.0;0.198208368270798;0.09478953255324174;96.62299999999999;119000.0;0.03570000000000001;2600000.0;3875000.0;2642498.944676228;8956.12;-1.1071510322924745;-91808.55421678792;0.06379999999999997;737810.144726823;1.600478730932537;0.0;238277.7778;69.7368;3.6667;0;1;1;0;21.752;0.05317903697204618
2018-12-31;ISP IM Equity;98055.0;42.0;-0.07633121497749308;-0.12635646335293693;96.62299999999999;59000.0;0.045899999999999996;2600000.0;4216000.0;1472308.6143178814;8956.12;-0.18574322182507108;-319620.6498229343;0.08519999999999994;820182.3863323638;-0.3621712433674187;0.0;245166.6667;71.0526;3.6667;0;1;1;0;-24.8575;-0.14733312932946283
2019-12-31;ISP IM Equity;95112.0;36.0;0.3002384464476182;0.2810562486423651;96.62299999999999;59000.0;0.04660000000000003;2613000.0;4507000.0;2081457.1057804292;8956.12;-1.4928513643109804;-1014936.1604165346;0.08779999999999999;1067626.6819517764;0.020071807828163646;0.0;316636.3636;69.2982;3.6667;0;1;1;0;33.127140000000004;0.2693366319549069
2005-12-31;BAYN GR Equity;82600.0;;0.03001022658127717;0.24194382281582086;89.16065453618153;748860.5348221026;0.5273182480629643;1568491.5170513173;20194173.130858976;1064079.326592483;732.3588632801245;-1.1634113488572733;-314690.45053975354;1.6565156750562777;924326.9473702082;-0.3645473780768693;2.357306682719626;845652.076351688;47.613264501587686;3.204108866065832;0;0;0;0;54.32792;0.23060788906712476
2006-12-31;BAYN GR Equity;106000.0;4.0;0.13597800585018627;0.19175369386878935;85.74549717289176;-879823.0299517666;6.886878691286924;1681878.5599442476;-51448967.15950829;2317358.0501903417;2457.7948305933937;3.456023688985671;401077.5329786873;-0.2060928642496922;548111.0567920784;1.7792689943298;1.448961472517929;370496.2452433063;39.6694;4.437539865080705;0;0;0;0;18.48314;0.12608706323169705
2007-12-31;BAYN GR Equity;106200.0;4.0;0.020817626510975632;0.008403105062703808;89.85123743674018;-997930.5968075879;0.07900000000000001;748872.0;7754442.0;2589829.182643952;2922.1809254658165;0.09899999999999998;819930.688876626;0.13;619723.8609528851;2.7444557953884945;0.0;89363.837;49.1736;4.066876391673301;0;0;0;0;56.08268;0.05002243845883725
2008-12-31;BAYN GR Equity;108600.0;4.0;-0.35810856166087257;-0.4186380198534567;94.99518206698944;-789049.037862038;0.10800000000000004;794000.0;7603000.0;2677352.5760776447;1998.9389837192919;0.134;-944151.3487764606;0.19199999999999995;913572.2167198339;0.29206566831357916;0.0;114950.0;52.0661;4.515023508697226;0;0;1;0;-31.706919999999997;-0.4114961197953512
2009-12-31;BAYN GR Equity;111000.0;4.0;0.2016746979887245;0.20124958740542387;85.73514446893493;-807620.993249011;0.09500000000000003;812000.0;7598000.0;1593007.903502027;2067.193710890268;0.118;620682.4645746658;0.09299999999999997;543043.5094192041;2.322189721166283;0.0;114950.0;58.2645;4.067287497446538;0;0;0;0;39.81601;0.16583460608511724
2010-12-31;BAYN GR Equity;111400.0;4.0;0.12633439234884314;0.014758810779721632;90.28784853932133;1737256.399575508;0.11599999999999999;1773000.0;11485000.0;823435.80923546;-45.74657444236709;0.14300000000000002;-1646517.2536777994;0.22799999999999998;1161699.71987405;-0.46884535588322507;4.0;109190.476;64.0496;1.0;0;0;0;0;1.7338059999999995;-0.056170741353302016
2011-12-31;BAYN GR Equity;111800.0;4.0;0.0009859816472339578;-0.1317874774261938;87.11006631749694;-1814622.0688875578;0.11599999999999999;1773000.0;0.0;2576783.2358450377;2051.3813037947752;0.14300000000000002;912093.3644791389;0.22799999999999998;598739.692625822;3.108347175312894;4.0;114950.0;64.0496;1.0;1;0;0;0;-8.354805;-0.15400529625231962
